"file","genome","n_ribosomal_proteins","total_ribosomal_gene_len","n_reads_mapped","Filename","ReadCount","dataset","normalized_reads_per_kB_per_M"
"ERR3201418_1","malmuthuge.128",41,18225,1,"ERR3201418_1.fastq",97737394,"Adult",0.00056139909459131
"ERR3201418_1","10677_min2k_bin.4359",27,11229,3,"ERR3201418_1.fastq",97737394,"Adult",0.00273350213703623
"ERR3201418_1","10674_0003_idba_bin.96",41,18645,10,"ERR3201418_1.fastq",97737394,"Adult",0.00548752936386518
"ERR3201418_1","10676_min2k_bin.3258",23,9531,7,"ERR3201418_1.fastq",97737394,"Adult",0.00751447796584686
"ERR3201418_1","10677_0019_idba_bin.37",23,9222,4,"ERR3201418_1.fastq",97737394,"Adult",0.00443786532159038
"ERR3201418_1","malmuthuge.158",35,15363,1,"ERR3201418_1.fastq",97737394,"Adult",0.000665983108697951
"SRR5190284_1","10674_0003_idba_bin.96",41,18645,722,"SRR5190284_1.fastq",16606854,"Calf",2.33177929844726
"SRR5190284_1","malmuthuge.128",41,18225,2046,"SRR5190284_1.fastq",16606854,"Calf",6.76006271179338
"SRR5190284_1","Megasphaera_elsdenii_2410",31,13602,1121,"SRR5190284_1.fastq",16606854,"Calf",4.96267088460946
"SRR5190284_1","Megasphaera_hexanoica_MH",42,17547,214,"SRR5190284_1.fastq",16606854,"Calf",0.734384546812188
"SRR5190284_1","malmuthuge.164",43,18489,80,"SRR5190284_1.fastq",16606854,"Calf",0.260548871805331
"SRR5190284_1","malmuthuge.158",35,15363,279,"SRR5190284_1.fastq",16606854,"Calf",1.09355543947768
"SRR5190284_1","10677_0023_idba_bin.239",41,18483,105,"SRR5190284_1.fastq",16606854,"Calf",0.342081405571959
"SRR5190284_1","malmuthuge.79",28,12450,6,"SRR5190284_1.fastq",16606854,"Calf",0.0290198077759565
"SRR5190284_1","10674_min2k_bin.1792",42,18066,38,"SRR5190284_1.fastq",16606854,"Calf",0.126658465799522
"SRR5190284_1","10676_min2k_bin.2753",42,18609,2,"SRR5190284_1.fastq",16606854,"Calf",0.00647171810791656
"SRR5190284_1","malmuthuge.34",41,17973,150,"SRR5190284_1.fastq",16606854,"Calf",0.502554674804787
"SRR5190284_1","10678_0024_idba_bin.135",41,17709,48,"SRR5190284_1.fastq",16606854,"Calf",0.163214910750763
"SRR5190284_1","10677_0023_idba_bin.13",41,18111,2,"SRR5190284_1.fastq",16606854,"Calf",0.00664967159572742
"SRR5190284_1","10676_0049_idba_bin.70",39,19470,4,"SRR5190284_1.fastq",16606854,"Calf",0.0123710531351021
"SRR5190284_1","10678_0051_idba_bin.51",43,20247,2,"SRR5190284_1.fastq",16606854,"Calf",0.00594815045538693
